order_id,loss_date,billing_system,brand,losing_nbn_speed,state,gaining_provider,gaining_nbn_speed
Order_ID_0043,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,SA,G2 Tele Pty Ltd,Speed100-20
Order_ID_0044,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,QLD,Idea Ltd,Speed25
Order_ID_0045,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,SA,BB Ltd,Speed250
Order_ID_0046,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,NSW,Super Pty Ltd,Speed100-20
Order_ID_0047,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,Source Ltd,Speed50
Order_ID_0048,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0049,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0050,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,NSW,Super Pty Ltd,Speed100
Order_ID_0051,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Phone Company,Speed100-20
Order_ID_0052,2023-6-1,Tech_Billing,ABC Ltd,Speed50,SA,BB Ltd,Speed100-20
Order_ID_0053,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Super Pty Ltd,Speed50
Order_ID_0054,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0055,2023-6-1,Tech_Billing,ABC Ltd,Speed25,VIC,Idea Ltd,Speed50
Order_ID_0056,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,QLD,Opal Pty Ltd,Speed100-20
Order_ID_0057,2023-6-1,Tech_Billing,ABC Ltd,Speed50,WA,Opal Pty Ltd,Speed50
Order_ID_0058,2023-6-1,Tech_Billing,ABC Ltd,Speed50,SA,Idea Ltd,Speed100-20
Order_ID_0059,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed100-20
Order_ID_0060,2023-6-1,Tech_Billing,ABC Ltd,Speed25,NSW,G2 Tele Pty Ltd,Speed25
Order_ID_0061,2023-6-1,Tech_Billing,ABC Ltd,Speed250,QLD,G2 Tele Pty Ltd,Speed1000
Order_ID_0062,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0063,2023-6-1,Tech_Billing,ABC Ltd,Speed50,TAS,Idea Ltd,Speed100-20
Order_ID_0064,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0065,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0066,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,ACT,Idea,Speed100-20
Order_ID_0067,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,VIC,Idea,Speed100-20
Order_ID_0068,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed50
Order_ID_0069,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,NSW,Idea,Speed250
Order_ID_0070,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,Idea,Speed25
Order_ID_0071,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,ANT Telecom,Speed50
Order_ID_0072,2023-6-2,Tech_Billing,ABC Ltd,Speed50,SA,G2 Tele Pty Ltd,Speed100-20
Order_ID_0073,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0074,2023-6-2,Tech_Billing,ABC Ltd,Speed25,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0075,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,NSW,Opal Pty Ltd,Speed100-20
Order_ID_0076,2023-6-2,Tech_Billing,ABC Ltd,Speed50,WA,Opal Pty Ltd,Speed50
Order_ID_0077,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed100-20
Order_ID_0078,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed50
Order_ID_0079,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,QLD,Super Pty Ltd,Speed100
Order_ID_0080,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0081,2023-6-2,Tech_Billing,ABC Ltd,Speed50,QLD,Idea Ltd,Speed250
Order_ID_0082,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,SA,Opal Pty Ltd,Speed50
Order_ID_0083,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,QLD,Phone Company,Speed100-20
Order_ID_0084,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,QLD,Phone Company,Speed100-20
Order_ID_0085,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,VIC,EXX Ptd Ltd,Speed100-20
Order_ID_0086,2023-6-2,Tech_Billing,ABC Ltd,Speed50,QLD,Idea Ltd,Speed25
Order_ID_0087,2023-6-2,Tech_Billing,ABC Ltd,Speed25,QLD,Source Ltd,Speed50
Order_ID_0088,2023-6-2,Tech_Billing,ABC Ltd,Speed50,QLD,Source Ltd,Speed50
Order_ID_0089,2023-6-2,Tech_Billing,ABC Ltd,Speed1000,VIC,BB Ltd,Speed1000
Order_ID_0090,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,Idea Ltd,Speed50
Order_ID_0091,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,BB Ltd,Speed100-20
Order_ID_0092,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,QLD,Super Pty Ltd,Speed100-20
Order_ID_0093,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,Idea Ltd,Speed50
Order_ID_0094,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,CAN Ltd,Speed50
Order_ID_0095,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed50
Order_ID_0096,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,NSW,Idea Ltd,Speed100-20
Order_ID_0097,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0098,2023-6-2,Tech_Billing,ABC Ltd,Speed50,SA,Phone Company,Speed100-20
Order_ID_0099,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0100,2023-6-2,Tech_Billing,ABC Ltd,Speed25,QLD,Idea Ltd,Speed12
Order_ID_0101,2023-6-2,Tech_Billing,ABC Ltd,Speed50,QLD,Opal Pty Ltd,Speed50
Order_ID_0102,2023-6-2,Tech_Billing,ABC Ltd,Speed50,SA,Idea Ltd,Speed50
Order_ID_0103,2023-6-2,Tech_Billing,ABC Ltd,Speed50,SA,G2 Tele Pty Ltd,Speed50
Order_ID_0104,2023-6-2,Tech_Billing,ABC Ltd,Speed50,QLD,Source Ltd,Speed50
Order_ID_0105,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,VIC,Idea Ltd,Speed50
Order_ID_0106,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,Idea Ltd,Speed50
Order_ID_0107,2023-6-2,Tech_Billing,ABC Ltd,Speed100-20,SA,Idea Ltd,Speed100-20
Order_ID_0108,2023-6-2,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0109,2023-6-2,Tech_Billing,ABC Ltd,Speed50,VIC,Idea Ltd,Speed50
Order_ID_0110,2023-6-2,Tech_Billing,ABC Ltd,Speed50,WA,G2 Tele Pty Ltd,Speed25
Order_ID_0111,2023-6-3,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed100-20
Order_ID_0112,2023-6-3,Tech_Billing,ABC Ltd,Speed100-20,WA,Idea,Speed100-20
Order_ID_0113,2023-6-3,Tech_Billing,ABC Ltd,Speed100-20,SA,Idea,Speed250
Order_ID_0114,2023-6-3,Tech_Billing,ABC Ltd,Speed50,QLD,BB Ltd,Speed50
Order_ID_0115,2023-6-3,Tech_Billing,ABC Ltd,Speed250,QLD,Super Pty Ltd,Speed100-20
Order_ID_0116,2023-6-3,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0117,2023-6-3,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed100-20
Order_ID_0118,2023-6-3,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0119,2023-6-3,Tech_Billing,ABC Ltd,Speed25,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0120,2023-6-3,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0121,2023-6-3,Tech_Billing,ABC Ltd,Speed25,QLD,Idea Ltd,Speed100-20
Order_ID_0122,2023-6-3,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0123,2023-6-3,Tech_Billing,ABC Ltd,Speed100-20,VIC,G2 Tele Pty Ltd,Speed100-20
Order_ID_0124,2023-6-3,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0125,2023-6-3,Tech_Billing,ABC Ltd,Speed100-20,NSW,Idea Ltd,Speed100-20
Order_ID_0126,2023-6-3,Tech_Billing,ABC Ltd,Speed100-20,NSW,BB Ltd,Speed100
Order_ID_0127,2023-6-3,Tech_Billing,ABC Ltd,Speed50,QLD,BB Ltd,Speed50
Order_ID_0128,2023-6-3,Tech_Billing,ABC Ltd,Speed50,SA,Idea Ltd,Speed25
Order_ID_0129,2023-6-3,Tech_Billing,ABC Ltd,Speed50,WA,G2 Tele Pty Ltd,Speed50
Order_ID_0130,2023-6-3,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0131,2023-6-3,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0132,2023-6-3,Tech_Billing,ABC Ltd,Speed100-20,WA,BB Ltd,Speed100-20
Order_ID_0133,2023-6-4,Tech_Billing,ABC Ltd,Speed50,QLD,Idea,Speed50
Order_ID_0134,2023-6-4,Tech_Billing,ABC Ltd,Speed50,VIC,BB Ltd,Speed100-20
Order_ID_0135,2023-6-4,Tech_Billing,ABC Ltd,Speed50,QLD,EXX Ptd Ltd,Speed100
Order_ID_0136,2023-6-4,Tech_Billing,ABC Ltd,Speed50,VIC,BB Ltd,Speed50
Order_ID_0137,2023-6-4,Tech_Billing,ABC Ltd,Speed100-20,WA,Super Pty Ltd,Speed1000
Order_ID_0138,2023-6-4,Tech_Billing,ABC Ltd,Speed100-20,QLD,BB Ltd,Speed100-20
Order_ID_0139,2023-6-4,Tech_Billing,ABC Ltd,Speed25,SA,Phone Company,Speed50
Order_ID_0140,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Opal Pty Ltd,Speed100-20
Order_ID_0141,2023-6-5,Tech_Billing,ABC Ltd,Speed1000,VIC,Idea,Speed250
Order_ID_0142,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Idea,Speed100-20
Order_ID_0143,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,NSW,Idea,Speed100-20
Order_ID_0144,2023-6-5,Tech_Billing,ABC Ltd,Speed25,ACT,Opal Pty Ltd,Speed50
Order_ID_0145,2023-6-5,Tech_Billing,ABC Ltd,Speed25,WA,BB Ltd,Speed100-20
Order_ID_0146,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,Idea,Speed50
Order_ID_0147,2023-6-5,Tech_Billing,ABC Ltd,Speed1000,NSW,Idea,Speed250
Order_ID_0148,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,SA,Opal Pty Ltd,Speed100-20
Order_ID_0149,2023-6-5,Tech_Billing,ABC Ltd,Speed250,NSW,Idea,Speed100-20
Order_ID_0150,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed50
Order_ID_0151,2023-6-5,Tech_Billing,ABC Ltd,Speed25,VIC,Idea,Speed25
Order_ID_0152,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,NSW,Opal Pty Ltd,Speed100-20
Order_ID_0153,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,EXX Ptd Ltd,Speed50
Order_ID_0154,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Opal Pty Ltd,Speed50
Order_ID_0155,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0156,2023-6-5,Tech_Billing,ABC Ltd,Speed250,NSW,BB Ltd,Speed50
Order_ID_0157,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Phone Company,Speed50
Order_ID_0158,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed50
Order_ID_0159,2023-6-5,Tech_Billing,ABC Ltd,Speed100,VIC,Idea,Speed25
Order_ID_0160,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0161,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,NSW,Idea,Speed100-20
Order_ID_0162,2023-6-5,Tech_Billing,ABC Ltd,Speed25,NSW,Opal Pty Ltd,Speed100-20
Order_ID_0163,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed50
Order_ID_0164,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed100-20
Order_ID_0165,2023-6-5,Tech_Billing,ABC Ltd,Speed50,WA,Opal Pty Ltd,Speed50
Order_ID_0166,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Opal Pty Ltd,Speed100-20
Order_ID_0167,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Opal Pty Ltd,Speed50
Order_ID_0168,2023-6-5,Tech_Billing,ABC Ltd,Speed25,VIC,Opal Pty Ltd,Speed100-20
Order_ID_0169,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,NSW,Opal Pty Ltd,Speed100-20
Order_ID_0170,2023-6-5,Tech_Billing,ABC Ltd,Speed50,SA,Opal Pty Ltd,Speed50
Order_ID_0171,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed1000
Order_ID_0172,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,WA,Opal Pty Ltd,Speed100-20
Order_ID_0173,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed50
Order_ID_0174,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed50
Order_ID_0175,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,WA,Opal Pty Ltd,Speed100-20
Order_ID_0176,2023-6-5,Tech_Billing,ABC Ltd,Speed50,WA,Opal Pty Ltd,Speed50
Order_ID_0177,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Opal Pty Ltd,Speed50
Order_ID_0178,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,EXX Ptd Ltd,Speed100
Order_ID_0179,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,QLD,EXX Ptd Ltd,Speed100
Order_ID_0180,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,QLD,Super Pty Ltd,Speed100
Order_ID_0181,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,QLD,Phone Company,Speed1000
Order_ID_0182,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,VIC,Phone Company,Speed100-20
Order_ID_0183,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0184,2023-6-5,Tech_Billing,ABC Ltd,Speed50,SA,G2 Tele Pty Ltd,Speed50
Order_ID_0185,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed25
Order_ID_0186,2023-6-5,Tech_Billing,ABC Ltd,Speed25,VIC,G2 Tele Pty Ltd,Speed25
Order_ID_0187,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0188,2023-6-5,Tech_Billing,ABC Ltd,Speed25,WA,G2 Tele Pty Ltd,Speed25
Order_ID_0189,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0190,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,VIC,G2 Tele Pty Ltd,Speed250
Order_ID_0191,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0192,2023-6-5,Tech_Billing,ABC Ltd,Speed25,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0193,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Idea Ltd,Speed50
Order_ID_0194,2023-6-5,Tech_Billing,ABC Ltd,Speed25,WA,Source Ltd,Speed25
Order_ID_0195,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,BB Ltd,Speed50
Order_ID_0196,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,CAN Ltd,Speed50
Order_ID_0197,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,CAN Ltd,Speed100
Order_ID_0198,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,BB Ltd,Speed50
Order_ID_0199,2023-6-5,Tech_Billing,ABC Ltd,Speed1000,SA,Idea Ltd,Speed250
Order_ID_0200,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0201,2023-6-5,Tech_Billing,ABC Ltd,Speed25,NSW,EXX Ptd Ltd,Speed50
Order_ID_0202,2023-6-5,Tech_Billing,ABC Ltd,Speed25,NSW,Opal Pty Ltd,Speed100-20
Order_ID_0203,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Idea Ltd,Speed25
Order_ID_0204,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,BB Ltd,Speed100
Order_ID_0205,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,NSW,G2 Tele Pty Ltd,Speed100
Order_ID_0206,2023-6-5,Tech_Billing,ABC Ltd,Speed50,SA,G2 Tele Pty Ltd,Speed100
Order_ID_0207,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Idea Ltd,Speed100-20
Order_ID_0208,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,BB Ltd,Speed50
Order_ID_0209,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,WA,G2 Tele Pty Ltd,Speed100-20
Order_ID_0210,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Idea Ltd,Speed100-20
Order_ID_0211,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,CAN Ltd,Speed100-20
Order_ID_0212,2023-6-5,Tech_Billing,ABC Ltd,Speed50,WA,Opal Pty Ltd,Speed50
Order_ID_0213,2023-6-5,Tech_Billing,ABC Ltd,Speed25,NSW,B2B Ltd,Speed25
Order_ID_0214,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Source Ltd,Speed100-20
Order_ID_0215,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Idea Ltd,Speed50
Order_ID_0216,2023-6-5,Tech_Billing,ABC Ltd,Speed50,QLD,Super Pty Ltd,Speed50
Order_ID_0217,2023-6-5,Tech_Billing,ABC Ltd,Speed25,WA,G2 Tele Pty Ltd,Speed50
Order_ID_0218,2023-6-5,Tech_Billing,ABC Ltd,Speed50,NSW,Idea Ltd,Speed50
Order_ID_0219,2023-6-5,Tech_Billing,ABC Ltd,Speed50,VIC,Source Ltd,Speed50
Order_ID_0220,2023-6-5,Tech_Billing,ABC Ltd,Speed25,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0221,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,SA,Idea Ltd,Speed100-20
Order_ID_0222,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,QLD,BB Ltd,Speed100-20
Order_ID_0223,2023-6-5,Tech_Billing,ABC Ltd,Speed1000,TAS,Super Pty Ltd,Speed1000
Order_ID_0224,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,QLD,CAN Ltd,Speed100-20
Order_ID_0225,2023-6-5,Tech_Billing,ABC Ltd,Speed100-20,QLD,Idea Ltd,Speed25
Order_ID_0226,2023-6-6,Tech_Billing,ABC Ltd,Speed50,VIC,Idea,Speed25
Order_ID_0227,2023-6-6,Tech_Billing,ABC Ltd,Speed250,VIC,Opal Pty Ltd,Speed50
Order_ID_0228,2023-6-6,Tech_Billing,ABC Ltd,Speed100-20,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0229,2023-6-6,Tech_Billing,ABC Ltd,Speed50,NSW,Idea,Speed25
Order_ID_0230,2023-6-6,Tech_Billing,ABC Ltd,Speed25,VIC,Opal Pty Ltd,Speed50
Order_ID_0231,2023-6-6,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed100-20
Order_ID_0232,2023-6-6,Tech_Billing,ABC Ltd,Speed50,VIC,G2 Tele Pty Ltd,Speed250
Order_ID_0233,2023-6-6,Tech_Billing,ABC Ltd,Speed50,VIC,Idea,Speed25
Order_ID_0234,2023-6-6,Tech_Billing,ABC Ltd,Speed50,NSW,BB Ltd,Speed25
Order_ID_0235,2023-6-6,Tech_Billing,ABC Ltd,Speed50,VIC,Idea,Speed100-20
Order_ID_0236,2023-6-6,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed250
Order_ID_0237,2023-6-6,Tech_Billing,ABC Ltd,Speed50,VIC,BB Ltd,Speed25
Order_ID_0238,2023-6-6,Tech_Billing,ABC Ltd,Speed50,NSW,Idea,Speed25
Order_ID_0239,2023-6-6,Tech_Billing,ABC Ltd,Speed100-20,QLD,G2 Tele Pty Ltd,Speed250
Order_ID_0240,2023-6-6,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed25
Order_ID_0241,2023-6-6,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed50
Order_ID_0242,2023-6-6,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed50
Order_ID_0243,2023-6-6,Tech_Billing,ABC Ltd,Speed50,NSW,Opal Pty Ltd,Speed50
Order_ID_0244,2023-6-6,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed50
